X,Y,OBJECTID,FEATURE_LOCATION,FEAT_CENT_EAST,FEAT_CENT_NORTH,longitude,latitude
357782.38,173179.4,450,"West End Car Park, Level 2B Entry Exit Bridge Left",357782.38,173179.4,-2.60900403296645,51.4560079723971
357746.67,173154.789999999,451,"West End Car Park, Level 1A Stairs and Lift Lobby",357746.67,173154.79,-2.60951502036466,51.4557840189823
357723.06,173115.279999999,452,"West End Car Park, Level 1B Outside Front Stairwell Entrance",357723.06,173115.28,-2.60985007177931,51.4554269997373
357746.67,173154.789999999,453,"West End Car Park, Level 1B Stairs and Lift Lobby",357746.67,173154.79,-2.60951502036466,51.4557840189823
357774.07,173174.02,454,"West End Car Park, Level 1B Vehicle Entrance",357774.07,173174.02,-2.60912298586556,51.4559589763437
357769.76,173174.390000001,455,"West End Car Park, Level 1 Vehicle Exit",357769.76,173174.39,-2.60918505987691,51.4559619802334
357764.77,173151.08,456,"West End Car Park, Level 0 Lift Lobby",357764.77,173151.08,-2.60925408082986,51.4557520176241
357764.77,173151.08,457,"West End Car Park, Level 0 POF",357764.77,173151.08,-2.60925408082986,51.4557520176241
357752.31,173131.27,458,"West End Car Park, Level 0 Vehicle Exit",357752.31,173131.27,-2.60943102832738,51.4555729648721
364125,175767,459,"Ledbury Road, Laundry
",364125,175767,-2.5179852035399,51.4797123555103
364173,175734,460,"Ledbury Road PTZ #5 (Rear of Block #1)
",364173,175734,-2.51729069321987,51.4794186966922
364128,175775,461,"Ledbury Road PTZ #6 (Vehicle Gates Block #2)

",364128,175775,-2.51794281911234,51.4797844755999
364108,175718,462,"Ledbury Road PTZ #8 (Rear of Block #3)


",364108,175718,-2.51822500590556,51.4792707070101
364089,175747,463,"Ledbury Road PTZ #9 (Top Rear of Block #3)



",364089,175747,-2.51850153784793,51.4795302419984
364209,175745,464,"Ledbury Road Block 1 Alleyway
",364209,175745,-2.51677344149869,51.4795198842313
364158,175757,465,"Ledbury Road Block 2 Alleyway
",364158,175757,-2.51750901506965,51.4796245409768
364108,175776,466,"Ledbury Road Block 4 Alleyway
",364108,175776,-2.51823090445254,51.4797921948887
364080.75,175774.060000001,467,Ledbury Road Block 04 Front Door External,364080.75,175774.06,-2.51862308459935,51.4797730179278
364094.41,175720.58,468,Ledbury Road Block 03 Rear Door External,364094.41,175720.58,-2.51842095080014,51.4792930395704
364099.49,175723.32,469,Ledbury Road Block 03 2nd Floor Stairs,364099.49,175723.32,-2.51834808256569,51.4793179986301
364099.49,175723.32,470,Ledbury Road Block 03 1st/2nd Floor Stairs,364099.49,175723.32,-2.51834808256569,51.4793179986301
364099.49,175723.32,471,Ledbury Road Block 03 Ground/1st Floor Stairs,364099.49,175723.32,-2.51834808256569,51.4793179986301
364099.49,175723.32,472,Ledbury Road Block 03 Ground Floor Stairs,364099.49,175723.32,-2.51834808256569,51.4793179986301
364131.16,175751.9,473,Ledbury Road Block 02 3rd Floor Stairs,364131.16,175751.9,-2.51789496998775,51.4795769804604
364131.16,175751.9,474,Ledbury Road Block 02 2nd/3rd Floor Stairs,364131.16,175751.9,-2.51789496998775,51.4795769804604
364131.16,175751.9,475,Ledbury Road Block 02 1st/2nd Floor Stairs,364131.16,175751.9,-2.51789496998775,51.4795769804604
364131.16,175751.9,476,Ledbury Road Block 02 Ground/1st Floor Stairs,364131.16,175751.9,-2.51789496998775,51.4795769804604
364131.16,175751.9,477,Ledbury Road Block 02 Ground Floor Stairs,364131.16,175751.9,-2.51789496998775,51.4795769804604
364183.68,175735.51,478,Ledbury Road Block 01 Rear Door External,364183.68,175735.51,-2.51713706422011,51.4794329513843
364188.29,175738.6,479,Ledbury Road Block 01 2nd Floor Stairs,364188.29,175738.6,-2.51707099791879,51.479461026705
364188.29,175738.6,480,Ledbury Road Block 01 1st/2nd Floor Stairs,364188.29,175738.6,-2.51707099791879,51.479461026705
364188.29,175738.6,481,Ledbury Road Block 01 Ground/1st Floor Stairs,364188.29,175738.6,-2.51707099791879,51.479461026705
364188.29,175738.6,482,Ledbury Road Block 01 Ground Floor Stairs,364188.29,175738.6,-2.51707099791879,51.479461026705
364121.2,175747.970000001,483,Ledbury Road PTZ #3 (Rear of Block 02),364121.2,175747.97,-2.5180379857762,51.4795410119211
364136.86,175753.310000001,484,Ledbury Road PTZ #2 (Front of Block 02),364136.86,175753.31,-2.51781303818747,51.4795900203237
